,Date,Open*,High,Low,Close**,Volume,Market Cap
0,2018-10-07,509.63,519.39,506.65,517.47,382426000,8861594133
1,2018-10-06,519.92,521.68,502.54,508.62,391070000,9039616499
2,2018-10-05,513.9,522.51,510.63,520.63,384914000,8933985193
3,2018-10-04,516.79,529.94,510.59,513.03,466791000,8983237142
4,2018-10-03,531.64,531.64,508.73,514.52,512420000,9240410255
5,2018-10-02,531.15,547.49,527.92,533.26,536291000,9231065200
6,2018-10-01,531.64,539.95,522.32,530.91,450906000,9238550523
7,2018-09-30,536.56,545.55,520.61,529.92,477471000,9323209424
8,2018-09-29,538.99,553.48,514.26,536.91,581112000,9364438473
9,2018-09-28,568.43,572.58,533.44,539.86,673844000,9874901675
10,2018-09-27,514.77,585.36,514.77,564.41,1083230000,8941667409
11,2018-09-26,444.8,542.53,434.35,515.93,856458000,7725476580
12,2018-09-25,462.11,462.35,428.91,445.23,414548000,8025310803
13,2018-09-24,487.92,490.76,459.59,463.09,385322000,8472619458
14,2018-09-23,487.71,504.14,478.07,488.65,384226000,8468153906
15,2018-09-22,500.35,505.29,468.33,487.83,412279000,8686713419
16,2018-09-21,457.52,506.44,449.38,499.04,597228000,7942219616
17,2018-09-20,429.81,462.06,424.66,455.74,369099000,7460387454
18,2018-09-19,433.19,438.71,414.28,429.23,337321000,7518391883
19,2018-09-18,418.56,443.76,414.54,435.68,332161000,7263602348
20,2018-09-17,450.38,460.49,413.04,420.45,365115000,7815108054
21,2018-09-16,448.51,450.2,431.44,449.16,277244000,7781822124
22,2018-09-15,447.58,458.81,446.41,450.68,276833000,7764870043
23,2018-09-14,467.13,472.75,443.87,449.5,314701000,8103237397
24,2018-09-13,433.54,472.58,433.54,464.44,393614000,7519771234
25,2018-09-12,440.51,440.93,414.46,432.85,319094000,7639882228
26,2018-09-11,468.35,476.13,433.16,440.83,355090000,8121918852
27,2018-09-10,484.22,486.98,463.81,465.59,300172000,8396238188
28,2018-09-09,474.63,493.95,466.3,481.19,286768000,8229069155
29,2018-09-08,501.82,508.96,468.8,475.29,311599000,8699690632
30,2018-09-07,518.77,526.0,496.14,501.57,368854000,8992394230
31,2018-09-06,529.95,530.25,495.06,519.16,441732000,9185601246
32,2018-09-05,626.2,631.76,530.23,530.51,520184000,10852523688
33,2018-09-04,627.32,643.44,622.72,625.07,386332000,10870995485
34,2018-09-03,648.33,650.69,622.23,626.36,397157000,11233853088
35,2018-09-02,616.03,653.69,601.94,645.88,570200000,10673018727
36,2018-09-01,543.96,628.08,542.26,615.31,490619000,9423372872
37,2018-08-31,538.62,546.76,535.6,543.08,307222000,9329874732
38,2018-08-30,554.07,556.52,527.92,540.02,337841000,9596489137
39,2018-08-29,564.41,567.25,548.47,554.37,299414000,9774498918
40,2018-08-28,545.08,570.98,541.24,565.31,429636000,9438756438
41,2018-08-27,523.02,546.36,520.09,546.36,305426000,9055787194
42,2018-08-26,536.49,536.49,516.58,522.88,257257000,9288151341
43,2018-08-25,534.99,542.03,529.73,537.24,272027000,9261256059
44,2018-08-24,531.55,537.54,522.85,535.4,304350000,9200802410
45,2018-08-23,519.12,532.0,515.9,530.77,282362000,8984694819
46,2018-08-22,535.15,570.61,512.11,519.95,319315000,9261198941
47,2018-08-21,514.06,540.02,514.06,536.57,304026000,8895268484
48,2018-08-20,570.11,575.63,513.12,515.66,374592000,9864131134
49,2018-08-19,554.93,579.6,544.97,569.93,383846000,9600525027
50,2018-08-18,597.67,606.92,541.05,554.92,413731000,10338847631
51,2018-08-17,516.56,597.01,516.22,597.01,463256000,8934808892
52,2018-08-16,512.87,538.27,506.84,517.35,402136000,8869938910
53,2018-08-15,513.25,540.49,508.14,513.67,378019000,8875620328
54,2018-08-14,534.98,534.98,481.43,509.31,420396000,9250602092
55,2018-08-13,571.02,591.86,529.04,535.98,379411000,9872700474
56,2018-08-12,564.44,580.8,561.09,570.96,324257000,9757981734
57,2018-08-11,571.89,582.59,548.48,566.77,341530000,9885729249
58,2018-08-10,610.35,612.66,564.95,572.44,345223000,10549398295
59,2018-08-09,590.52,619.54,581.33,610.78,355208000,10205638002
60,2018-08-08,660.05,660.05,575.64,585.45,450595000,11406131540
61,2018-08-07,692.63,712.34,653.78,659.38,378007000,11967912061
62,2018-08-06,711.01,718.65,684.44,692.63,316406000,12284172513
63,2018-08-05,696.07,715.52,687.86,709.22,313362000,12024688233
64,2018-08-04,723.27,735.04,691.58,695.74,327670000,12493293765
65,2018-08-03,732.8,732.8,704.59,724.71,361851000,12656535287
66,2018-08-02,767.67,773.73,726.92,734.76,387197000,13257608480
67,2018-08-01,779.95,779.95,740.32,769.35,499193000,13468236361
68,2018-07-31,816.73,816.73,766.34,777.15,420759000,14101953800
69,2018-07-30,828.55,829.87,790.12,816.08,568282000,14304408204
70,2018-07-29,821.01,835.62,813.79,828.98,565436032,14172835840
71,2018-07-28,821.49,826.43,803.73,818.83,525351008,14179516416
72,2018-07-27,804.35,829.42,785.59,819.39,589747968,13882286080
73,2018-07-26,830.74,855.97,795.74,806.18,597276992,14336219136
74,2018-07-25,863.2,870.66,822.51,831.46,692334016,14894816256
75,2018-07-24,785.6,871.47,778.65,869.47,905811968,13554297856
76,2018-07-23,789.69,828.39,783.52,784.39,608630016,13623557120
77,2018-07-22,788.47,820.1,781.3,788.67,529767008,13601174528
78,2018-07-21,767.88,797.06,750.72,789.49,513512992,13244620800
79,2018-07-20,823.4,823.4,765.18,767.66,612099008,14200651776
80,2018-07-19,828.43,840.43,808.73,824.89,684182976,14286016512
81,2018-07-18,849.77,880.98,814.59,829.94,720550976,14652491776
82,2018-07-17,803.12,863.29,784.92,850.78,752280000,13846744064
83,2018-07-16,724.48,806.93,718.95,805.68,534068000,12489612288
84,2018-07-15,702.99,731.57,698.76,722.97,322284000,12118095872
85,2018-07-14,696.42,707.05,690.69,704.06,272856000,12003391488
86,2018-07-13,686.65,708.75,686.65,696.59,352371008,11833760768
87,2018-07-12,706.98,706.98,669.52,682.76,336003008,12182778880
88,2018-07-11,688.87,713.76,688.87,707.48,321031008,11869532160
89,2018-07-10,732.86,739.2,688.63,688.63,374505984,12626165760
90,2018-07-09,751.57,757.37,731.35,733.38,338876000,12947269632
91,2018-07-08,775.78,784.44,745.82,751.35,328903008,13362799616
92,2018-07-07,736.76,775.82,715.29,775.3,772953024,12689384448
93,2018-07-06,748.48,748.67,705.11,737.33,375967008,12890004480
94,2018-07-05,763.29,779.14,725.12,748.22,469756992,13143701504
95,2018-07-04,757.93,808.23,742.93,762.4,420710016,13049904128
96,2018-07-03,775.07,819.37,754.82,757.95,478640000,13343602688
97,2018-07-02,739.25,798.31,724.32,776.17,413921984,12725666816
98,2018-07-01,749.18,752.91,719.76,739.42,558793984,12895140864
99,2018-06-30,717.04,762.92,717.04,748.71,576081024,12340696064
100,2018-06-29,663.0,729.55,652.81,715.71,407536000,11409434624
101,2018-06-28,714.7,720.24,651.21,660.24,340686016,12298087424
102,2018-06-27,698.28,719.93,691.39,713.77,333936992,12014191616
103,2018-06-26,757.25,757.7,700.26,700.26,357417984,13027362816
104,2018-06-25,748.63,774.65,739.04,756.85,447070016,12877713408
105,2018-06-24,764.62,767.02,676.94,749.36,642142016,13151431680
106,2018-06-23,755.24,776.89,742.33,762.76,397206016,12988645376
107,2018-06-22,874.97,876.38,735.41,755.97,589187968,15046276096
108,2018-06-21,890.64,900.72,869.14,874.09,361313984,15314278400
109,2018-06-20,905.71,906.48,866.06,890.45,430131008,15571678208
110,2018-06-19,885.99,918.2,878.48,904.65,397230016,15231092736
111,2018-06-18,849.81,892.96,830.29,885.64,381404000,14607430656
112,2018-06-17,853.06,865.08,849.22,852.1,290560992,14661787648
113,2018-06-16,847.16,861.46,839.34,852.19,311148000,14559003648
114,2018-06-15,896.43,897.09,843.08,849.32,371601984,15404119040
115,2018-06-14,844.36,898.93,832.88,897.6,522806016,14507845632
116,2018-06-13,876.89,881.13,818.62,844.24,547672000,15065222144
117,2018-06-12,957.14,960.15,862.45,874.43,523140992,16442107904
118,2018-06-11,937.63,975.83,906.01,958.56,619150976,16105261056
119,2018-06-10,1087.46,1087.46,909.61,939.55,757265984,18676987904
120,2018-06-09,1117.35,1137.32,1092.13,1092.13,407028000,19188285440
121,2018-06-08,1145.34,1149.8,1096.91,1118.19,503856000,19666837504
122,2018-06-07,1135.15,1166.25,1133.34,1143.75,561721024,19489906688
123,2018-06-06,1157.33,1157.33,1107.21,1131.17,608502976,19868760064
124,2018-06-05,1110.07,1158.73,1064.72,1152.89,727427008,19055380480
125,2018-06-04,1170.78,1206.53,1086.85,1105.8,910656000,20095315968
126,2018-06-03,1083.13,1190.57,1074.82,1170.4,842262016,18588960768
127,2018-06-02,1003.33,1093.86,996.59,1084.78,689121024,17217445888
128,2018-06-01,995.66,1010.34,979.83,1002.92,538528000,17084068864
129,2018-05-31,983.57,1027.73,975.4,995.34,705260032,16874937344
130,2018-05-30,990.07,1025.64,954.89,984.68,591774976,16984657920
131,2018-05-29,896.85,1003.51,880.89,987.66,688334016,15383827456
132,2018-05-28,996.65,1005.65,884.05,892.12,566168000,17093825536
133,2018-05-27,1009.2,1009.79,982.27,996.92,507305984,17307283456
134,2018-05-26,1015.68,1046.49,1001.18,1012.48,486185984,17416660992
135,2018-05-25,1072.74,1073.05,998.52,1017.3,620339968,18393104384
136,2018-05-24,1005.01,1078.36,958.82,1071.36,785384000,17229959168
137,2018-05-23,1142.25,1153.91,978.27,1005.61,858105984,19580678144
138,2018-05-22,1233.7,1233.7,1131.93,1141.86,634201984,21146398720
139,2018-05-21,1296.03,1301.55,1221.57,1233.64,622772992,22212315136
140,2018-05-20,1183.2,1306.95,1174.97,1291.77,805598976,20276508672
141,2018-05-19,1206.61,1208.99,1159.66,1184.96,595862016,20675375104
142,2018-05-18,1202.2,1218.0,1143.12,1207.24,876974976,20597704704
143,2018-05-17,1290.22,1335.41,1185.99,1206.17,804139008,22103558144
144,2018-05-16,1341.89,1359.36,1241.99,1280.62,913177984,22986248192
145,2018-05-15,1430.28,1456.35,1323.31,1343.38,939358016,24497889280
146,2018-05-14,1489.33,1501.64,1353.79,1431.69,1158710016,25506562048
147,2018-05-13,1474.76,1507.88,1427.09,1493.12,921628032,25254514688
148,2018-05-12,1376.05,1501.65,1284.44,1472.4,1461449984,23561701376
149,2018-05-11,1527.49,1556.64,1332.58,1371.74,1513260032,26151856128
150,2018-05-10,1646.15,1669.83,1523.56,1528.59,1070040000,28180631552
151,2018-05-09,1607.87,1679.03,1484.29,1638.34,1273219968,27522365440
152,2018-05-08,1673.07,1693.35,1569.44,1611.94,1060739968,28635467776
153,2018-05-07,1766.66,1781.47,1590.3,1655.2,1407629952,30234132480
154,2018-05-06,1758.83,1838.49,1670.34,1765.69,1946960000,30097045504
155,2018-05-05,1516.74,1753.11,1515.07,1752.1,1664400000,25951444992
156,2018-05-04,1501.4,1538.46,1466.21,1517.33,960185024,25686296576
157,2018-05-03,1459.55,1536.8,1454.97,1511.97,1282659968,24967833600
158,2018-05-02,1353.54,1480.58,1326.91,1458.72,1165139968,23151935488
159,2018-05-01,1348.64,1351.28,1261.6,1351.28,774633024,23065737216
160,2018-04-30,1440.96,1440.96,1339.36,1350.05,753113984,24642043904
161,2018-04-29,1393.99,1477.31,1378.01,1440.3,1049449984,23836329984
162,2018-04-28,1337.96,1418.61,1334.27,1396.25,808801984,22875830272
163,2018-04-27,1422.06,1422.06,1337.85,1337.85,905273024,24311044096
164,2018-04-26,1289.54,1420.41,1250.86,1420.41,1281929984,22043172864
165,2018-04-25,1426.71,1437.18,1246.61,1284.79,1830969984,24385294336
166,2018-04-24,1434.01,1560.94,1414.11,1426.42,2053920000,24507734016
167,2018-04-23,1194.71,1443.27,1194.71,1432.26,1934290048,20415717376
168,2018-04-22,1147.48,1250.51,1116.27,1201.22,968409024,19606595584
169,2018-04-21,1126.86,1172.28,1028.03,1154.69,1093510016,19252056064
